mun_origem,mun_destino,viagens
1100205,1300805,399.506599783248
1100205,1301704,3106.36764278677
1100205,1302702,4435.33857702773
1100205,1303106,399.506599783248
1100205,1303304,619.642889458154
1200203,1200351,598.430561234153
1200203,1200393,2274.03613278252
1200203,1301803,1914.97779570199
1300060,1301209,89.6851550155304
1300060,1301605,236.442681516988
1300060,1302306,309.821444690437
1300060,1303700,913.157942692911
1300060,1303908,864.238766625701
1300060,1304203,81.5319591331297
1300060,1304237,432.119383390131
1300086,1300631,2152.44372145466
1300102,1300086,9262.03055950191
1300102,1300631,2872.46669432579
1300102,1301308,684.868456749202
1300300,1300805,2609.02269241471
1300300,1301902,2674.24825947392
1300409,1303601,652.255673065037
1300409,1303809,1565.41361560339
1300508,1300680,6163.81611027913
1300508,1301902,5744.93338787878
1300508,1302900,1402.34969718257
1300631,1300839,6702.42228572978
1300631,1300904,782.706807801694
1300631,1304104,1622.48598678019
1300805,1301704,65.2255673065037
1300805,1302702,1769.24351343621
1300805,1303106,2291.04805145547
1300805,1303304,1981.22660715144
1300904,1304104,913.157942692911
1301001,1301209,163.063918266259
1301001,1301308,195.676701950423
1301001,1301951,3726.01053216764
1301001,1302207,872.391962508102
1301001,1304203,228.289485557307
1301209,1301308,6131.20332674953
1301209,1301605,97.8383509752117
1301209,1302207,97.8383509752117
1301209,1302306,203.829897832824
1301209,1303700,179.370310108341
1301209,1303908,32.6127836532519
1301209,1304203,8308.10663662419
1301209,1304237,187.523505990742
1301209,1304260,489.191754798778
1301308,1301605,97.8383509752117
1301308,1302207,32.6127836532519
1301308,1302306,97.8383509752117
1301308,1303908,32.6127836532519
1301308,1304203,4443.49177291013
1301308,1304237,154.910722383859
1301308,1304260,195.676701950423
1301407,1301951,4304.88744213651
1301605,1302306,4149.9767203709
1301605,1303700,317.974640650118
1301605,1303908,97.8383509752117
1301605,1304203,3538.48702687242
1301605,1304237,399.506599783248
1301704,1302702,15809.0468793451
1301704,1303106,24.4595877399389
1301704,1303304,48.9191754798778
1301902,1300680,5744.93338787878
1301902,1302009,195.676701950423
1301902,1302900,4141.82352371569
1301902,1303106,7659.91118435358
1301902,1303957,163.063918266259
1301902,1304302,130.451134582095
1301902,1304401,4370.11300996852
1301902,1503903,505.49814664086
1301902,1504802,277.208661083553
1301902,1505106,277.208661083553
1301902,1505304,130.451134582095
1301902,1506005,32.6127836532519
1301902,1507979,815.319591331297
1302009,1303957,293.515052925635
1302108,1302801,701.174848591284
1302108,1304203,5674.62435578947
1302207,1301951,464.732167074295
1302207,1304203,3815.69568764685
1302306,1303700,285.361856965954
1302306,1303908,350.587424257002
1302306,1304203,4117.36393606849
1302306,1304237,497.344950758459
1302405,1300631,342.434228374601
1302405,1300904,391.353403823566
1302405,1304104,399.506599783248
1302603,1100205,4101.05754430369
1302603,1300060,2682.40145535632
1302603,1300086,18124.5545192206
1302603,1300102,25959.7757915743
1302603,1300300,36917.6710977068
1302603,1300409,27264.2871327584
1302603,1300508,19795.9596751127
1302603,1300631,26587.5718714279
1302603,1300680,10860.0569586349
1302603,1300805,11911.8192290102
1302603,1300839,14708.3654274929
1302603,1300904,3073.75485925716
1302603,1301001,4525.02373173414
1302603,1301100,668.562064907119
1302603,1301209,50403.0571351116
1302603,1301308,33574.8607704664
1302603,1301605,14268.0928482977
1302603,1301704,546.264126207425
1302603,1301902,37064.4286266812
1302603,1301951,2225.82248439626
1302603,1302009,2348.12042340508
1302603,1302108,7028.05487767764
1302603,1302207,4508.71733996934
1302603,1302306,7737.38292485614
1302603,1302405,3090.06125102197
1302603,1302702,38580.9230592622
1302603,1302801,1932.30743185703
1302603,1302900,38743.9869846382
1302603,1303007,8414.09818618663
1302603,1303106,35702.8449019554
1302603,1303205,14936.6549152914
1302603,1303304,8218.4214834634
1302603,1303403,67508.462161304
1302603,1303569,6881.29735102162
1302603,1303601,2674.24825947392
1302603,1303700,2967.76331278596
1302603,1303809,10468.7035531884
1302603,1303908,2894.38454907154
1302603,1303957,2119.83093715225
1302603,1304104,10794.8313884845
1302603,1304203,89424.2527503848
1302603,1304237,3546.64022275482
1302603,1304260,13273.402946008
1302603,1304302,4728.85362956696
1302603,1304401,17154.3241999412
1302603,1501808,211.983093715225
1302603,1503101,228.289485557307
1302603,1503903,18833.8825578982
1302603,1504802,3962.45321430287
1302603,1505106,20089.4747330616
1302603,1505304,9946.89901516919
1302603,1506005,472.885362956696
1302603,1506807,90614.6194172222
1302603,1507979,8511.93653368421
1302702,1303106,1068.06866445853
1302702,1303304,2723.16743476832
1302801,1304203,5054.9814664086
1302900,1300680,8740.22602148266
1302900,1303106,1565.41361560339
1303007,1301902,1141.44742817294
1303007,1303403,2152.44372145466
1303007,1304401,957.488897850996
1303007,1505106,4891.91754798778
1303007,1506807,23089.8508286044
1303007,1507979,10990.5080912077
1303106,1303304,937.617530340114
1303106,1304401,423.96618750773
1303403,1300508,9995.81818891798
1303403,1300680,1891.54145167222
1303403,1301902,489.191754798778
1303403,1302900,13827.8202691024
1303403,1304302,4304.88744213651
1303403,1501808,718.116673542808
1303403,1503101,16.3063918266259
1303403,1503903,9849.06065994354
1303403,1504802,652.255673065037
1303403,1505106,5087.5942499382
1303403,1505304,3587.40620216683
1303403,1506005,5984.30561234153
1303403,1506807,11218.7975790061
1303403,1507979,15401.387077497
1303601,1303809,1826.31588461302
1303700,1303908,880.545158390503
1303700,1304203,505.49814664086
1303700,1304237,733.787632198167
1303908,1304203,391.353403823566
1303908,1304237,334.2810324922
1304062,1300060,1916.00103931943
1304062,1301209,513.651342523261
1304062,1301308,578.876909891589
1304062,1301605,1410.50289306497
1304062,1302306,1320.81773835856
1304062,1302603,17162.477394278
1304062,1303700,1793.70310108341
1304062,1303908,2176.90330910186
1304062,1304203,3946.14682253807
1304062,1304237,1475.72846012417
1304203,1304237,342.434228374601
1304203,1304260,10485.009941862
1304302,1302009,978.383509752117
1304302,1303957,880.545158390503
1500107,1501402,22894.1741258811
1500107,1504000,19828.5724601879
1500602,1502509,957.488897850996
1500602,1503101,2804.69939436513
1500602,1504802,815.319591331297
1500602,1505908,20154.700295484
1500602,1506005,847.9323748609
1500602,1507805,2543.7971253555
1500602,1508084,957.488897850996
1500701,1501808,17480.4520352373
1500701,1502806,456.578971191895
1501105,1502806,1467.57526424177
1501105,1507706,718.116673542808
1501402,1301902,130.451134582095
1501402,1302603,8626.08127758343
1501402,1303403,244.595877399389
1501402,1500602,1141.44742817294
1501402,1500701,8055.35756581538
1501402,1501105,6196.42889458154
1501402,1501808,163455.271702618
1501402,1502103,23742.1064991964
1501402,1502400,410497.107866727
1501402,1502509,2739.47382730593
1501402,1502806,45984.0249544855
1501402,1503101,9751.22231244596
1501402,1503903,277.208661083553
1501402,1504000,35482.7086162218
1501402,1504505,24231.2982521405
1501402,1504802,1059.91546857612
1501402,1505106,260.902269241471
1501402,1505205,12066.7299523214
1501402,1505809,74813.7257013017
1501402,1505908,4467.95136055733
1501402,1506005,880.545158390503
1501402,1506401,15654.1361560339
1501402,1506807,6881.29735102162
1501402,1507706,70117.4848591284
1501402,1507805,260.902269241471
1501402,1508001,50794.410540558
1501402,1600279,12409.1641840191
1501402,1600303,51071.6192021053
1501808,1301902,718.116673542808
1501808,1501105,17904.4182257589
1501808,1502806,35710.9981040203
1501808,1503101,31047.3700391941
1501808,1503903,32.6127836532519
1501808,1504505,38776.5997619854
1501808,1504802,114.144742817294
1501808,1505809,81499.3463403264
1501808,1505908,260.902269241471
1501808,1506005,114.144742817294
1501808,1507706,6223.67783680428
1502103,1504000,21133.0838091001
1502103,1505205,17234.8001659548
1502103,1508100,19469.8318398167
1502509,1507805,957.488897850996
1502806,1504505,1826.31588461302
1502806,1505205,23742.1064991964
1502806,1507706,3848.30847117646
1503101,1301902,3590.58336771404
1503101,1503903,48.9191754798778
1503101,1504802,114.144742817294
1503101,1505106,16.3063918266259
1503101,1505908,26383.7419743679
1503101,1506005,97.8383509752117
1503101,1507805,782.706807801694
1503606,1501006,27916.5428110785
1503903,1504802,717.481240356085
1503903,1505106,31210.4339568421
1503903,1505304,12131.9555224719
1503903,1506005,48.9191754798778
1503903,1507979,2348.12042340508
1504802,1505106,668.562064907119
1504802,1505908,358.740620216683
1504802,1506005,2217.66928851386
1504802,1507805,97.8383509752117
1505106,1505304,25568.4223861278
1505106,1506005,81.5319591331297
1505106,1507979,3000.37609631556
1505205,1507706,1826.31588461302
1505304,1507979,5744.93338787878
1505809,1502806,5250.65816835903
1505809,1504505,13436.466863656
1505908,1506005,423.96618750773
1505908,1507805,1402.34969718257
1506005,1507805,65.2255673065037
1506807,1300409,7533.55302393209
1506807,1301902,913.157942692911
1506807,1500602,4435.33857702773
1506807,1501006,29433.0372513875
1506807,1501808,668.562064907119
1506807,1502855,25617.3415598766
1506807,1503101,2869.92496142434
1506807,1503606,22062.5481412394
1506807,1503903,38124.3440913933
1506807,1504802,46473.2167074295
1506807,1505106,142876.605162516
1506807,1505304,53060.9990066847
1506807,1505908,2282.89485557307
1506807,1506005,10044.7373626668
1506807,1507805,782.706807801694
1506807,1507979,10175.1885029676
1507979,1304401,957.488897850996
1600279,1301902,2633.09446986304
1600279,1302603,293.515052925635
1600279,1303403,16.3063918266259
1600279,1500602,3685.24455275564
1600279,1501808,2690.55465123872
1600279,1503101,4582.09610368375
1600279,1503903,32.6127836532519
1600279,1504802,5364.80291148544
1600279,1505106,16.3063918266259
1600279,1505908,2641.63547594431
1600279,1506005,3571.09981040203
1600279,1506807,22796.3357706555
1600279,1507805,456.578971191895
1600279,1600303,18915.4145167222
1600303,1500602,13045.1134582095
1600303,1500701,9131.57942692911
1600303,1501808,59909.6835710855
1600303,1502509,12621.1472754159
1600303,1502806,957.488897850996
1600303,1503101,10925.2825210573
1600303,1504505,4308.70004110229
1600303,1504802,3880.92125470606
1600303,1505809,19959.0235927607
1600303,1505908,3293.89114885479
1600303,1506005,3815.69568764685
1600303,1506807,53484.9651894783
1600303,1507805,1337.12413012336
2102903,1508308,5266.18893895328
2105302,1504208,718.116673542808
2107100,2109403,16516.6834933393
2107100,2111300,8617.40007911335
2111300,2100204,11729.2390040843
2700300,2805703,957.488897850996
2926004,2930204,8617.40007911335
2926004,2933604,1436.23334677649
2927408,2933208,367196.992389227
3304557,3300100,20107.2668564165
4118204,4109500,20107.2668564165
4207304,4218707,23937.222454003
4315602,4318507,225967.379902109
